SMID,Mon,Tue,Wed,Thu,Fri,Sat,Sun,sum,label,score
101378,0.0575139146567718,0.0686456400742115,0.2912801484230056,0.15584415584415584,0.16883116883116883,0.06679035250463822,0.19109461966604824,"count    539
dtype: int64",Negative,0
103694,0.1669393160395731,0.13320869362000468,0.16732881514372516,0.10064656851289241,0.13694788501986446,0.11186414271247176,0.1830645789514684,"count    12837
dtype: int64",Positive,2
106002,0.153757634770293,0.1500398335841374,0.142692750287687,0.15158891741170222,0.1550854209082057,0.09719394529521112,0.14964149774276356,"count    22594
dtype: int64",Negative,0
107667,0.13527575442247658,0.14203954214360043,0.1586888657648283,0.2481789802289282,0.08012486992715921,0.1040582726326743,0.13163371488033299,"count    1922
dtype: int64",Negative,0
107776,0.1219410165237398,0.18113365404727044,0.14850449696716167,0.13198075716377328,0.09537753608031793,0.1390922401171303,0.18197029910060658,"count    4781
dtype: int64",Negative,0
109209,0.14479591442942227,0.1293077942292602,0.13953458456076256,0.1449760088503544,0.14713714190153981,0.15629622959465891,0.13795232643400182,"count    77737
dtype: int64",Negative,1
111778,0.16436769688169814,0.15095415888819746,0.14554380142432413,0.14485238194012307,0.14398810758487174,0.12167254373228238,0.12862130954850307,"count    57852
dtype: int64",Negative,0
112787,0.1633244256809863,0.14702117625923514,0.15537490736790102,0.12849475646179065,0.1275066807392603,0.1320203902899104,0.1462576632009162,"count    44531
dtype: int64",Positive,3
114349,0.10060443250503694,0.17743451981195432,0.19207521826729348,0.24459368703828072,0.09147078576225655,0.10194761584956347,0.09187374076561451,"count    7445
dtype: int64",Negative,0
115882,0.05408970976253298,0.1662269129287599,0.20052770448548812,0.07783641160949868,0.29023746701846964,0.07783641160949868,0.13324538258575197,"count    758
dtype: int64",Negative,1
116049,0.0,0.0,0.0,0.019141678382925763,0.16914052596399842,0.4920367852121603,0.31968101044091546,"count    86774
dtype: int64",Positive,4
116939,0.16502964739962883,0.15090752727108134,0.16063911646222787,0.16330964558910063,0.1137011723170235,0.12207486534196352,0.12433802561897433,"count    22093
dtype: int64",Negative,0
123825,0.15851685952469827,0.13947990543735225,0.15889013313425407,0.14980714196839617,0.13089461241756875,0.12815727261415952,0.134254074903571,"count    8037
dtype: int64",Negative,1
124854,0.14498947922146238,0.1509896107311941,0.12245199894792215,0.1699927669647554,0.10889005786428195,0.11946015255128879,0.1832259337190952,"count    60832
dtype: int64",Negative,0
125881,0.0,0.0,0.0,0.02498076529767528,0.03353168612861442,0.42067998324876554,0.5208075653249448,"count    102679
dtype: int64",Negative,0
126158,0.145819323021744,0.12004034969737727,0.14806097287603676,0.11398789509078681,0.15635507733691997,0.16195920197265187,0.1537771800044833,"count    8922
dtype: int64",Negative,0
128616,0.0,0.0,0.0,0.0,0.0887883008356546,0.3102367688022284,0.600974930362117,"count    2872
dtype: int64",Negative,1
128666,0.16124620526816105,0.1435711876360737,0.15088773726656649,0.13607678390727054,0.14403728803164575,0.12896875287479684,0.13521204501548556,"count    163055
dtype: int64",Negative,0
129152,0.14038330576904368,0.17983266854752408,0.18445374063624867,0.1983169569024224,0.11577001653857379,0.07218601031228719,0.10905730129390019,"count    20558
dtype: int64",Negative,0
129579,0.17620813847228942,0.12008815782400688,0.11369134010643445,0.10949846798903402,0.1320754716981132,0.14277267107455788,0.20566575283556415,"count    18603
dtype: int64",Negative,1
129953,0.1810439226183234,0.15226913249787077,0.1669302834894756,0.20397858620270107,0.07677333008881859,0.09958632437036136,0.11941842073244921,"count    16438
dtype: int64",Negative,0
130024,,,,,,,,"count    0
dtype: int64",Positive,10
130994,0.1351057401812689,0.1394561933534743,0.16906344410876134,0.16326283987915408,0.1332930513595166,0.12253776435045317,0.13728096676737161,"count    8275
dtype: int64",Negative,0
131368,0.1629802373429056,0.16500187040854497,0.14359962114277983,0.1556418684983405,0.1175571668484014,0.12074880015281636,0.13447043560621136,"count    125641
dtype: int64",Positive,2
